id;uf;nome_social;instagram;contato_telefone;contato_email;contato_links;bio
1;AC;ASPMA - Associação dos Pecuaristas do Município de Acrelândia;aspma_oficial;;;;À todos os amantes do mundo country,sejam bem-vindos!💥👢.  expo2025🐂.  expo2024🐂.  expo2023🐂.  Expo2022🐂
2;AC;Expo Acrelândia 2026;expoacrelandia;;;;Event.  👋 -Bem-vindos ao perfil oficial da EXPO Acrelândia!.  🔥 -Nosso próximo encontro já tem data marcada: 02 a 05 de Julho.👨‍🌾🐂.  PARCEIROS 2025.  PARCEIROS 2024
